,Prompt,Completion
73,Chrismas quiz game,
78,The Winter Sale,
79,Luminous Last Impressions,
80,OVER come the naughty ouches,
81,Joyful wow,
82,Festive First Impressions,
91,Fragrance Deconstructed,
92,Rose Dunes Summary,
93,Do you want to be remembered,
95,Test your rose dunes knowlwdge,
96,Avoid the road blocks,
98,Home knowledge test,
99,A guide to scenting the home,
100,Home collecting gifting,
101,Home accessoriess,
102,Aroma reeds,
103,Candles,
105,Hair Care - Recommendations,
107,Mothers Day 2022 - Last Impressions,
108,Mothers Day 2022,
109,Your learning journey check In - 2,
110,Your learning journey check In ,
111,Delicious Rhubarb & Rose - last impression,
112,Delicious Rhubarb & Rose - fragrance family,
113,Delicious Rhubarb & Rose - the full collection,
114,Delicious Rhubarb & Rose -wow facts,
115,Delicious Rhubarb & Rose -end of module test,
116,Delicious Rhubarb & Rose - eliminating the...,
117,Delicious Rhubarb & Rose - EDP and EDT,
118,Delicious Rhubarb & Rose - An introduction,
119,Closing video - R & R,
120,Michael intro video 2 R & R,
122,Re-charge Black Pepper Quiz,
123,Re-charge Black Pepper,
124,Bespoke Gifting,
125,Fiery Pink Pepper Quiz,
126,Fiery Pink Pepper ,
131,Opulent Collections Quiz,
132,Opulent Activation,
133,Labdanum Dusk - Last impressions,
134,Labdanum Dusk - Focus on the WOW!,
135,Labdanum Dusk - Eliminating the Ouches,
136,Labdanum Dusk -First Impression,
137,Neon Amber - Last Impression,
138,Neon Amber - Eliminating the Ouches,
139,Neon Amber -Focus on the WOW!,
140,Neon Amber -First Impressions     ,
141,Mesmerising Oudh - Eliminating the Ouches,
142,Mesmerising Oudh - First Impressions,
143,Mesmerising Oudh - Focus on the WOW!,
144,Mesmerising Oudh - Last impressions,
146,Hair Care - Heritage,
147,Hair Care Profiling - Quiz,
148,Hair Care  - Quiz,
149,Hair Care - Bringing it to Life,
150,Volumising Collection with Nettle,
151,Repairing Collection With Fennel,
152,Hydrating Collection With Camomile,
153,Balancing Shampoo with Coriander,
154,The Science of Hair,
155,The Types of Hair,
156,Purifying collection with Indian Cress,
157,Thickening Shampoo with Ginger Extract,
158,Haircare Profiling & Demonstration,
159,Hair Hacks,
160,Category Usage,
161,The Growth Cycle,
162,Chamomile,
163,Coriander,
164,Fine Liquid Hand Wash,
165,Hand Cream ,
166,Hand Lotion,
167,Hand Sanitisers,
168,Re-charge Black Pepper - Focus on the WOW,
169,Re-charge Black Pepper - Eliminating the Ouches,
170,Re-charge Black Pepper- Last Impressions,
171,Re-charge Black Pepper - First Impressions,
172,Flora Luminare - Quiz,
176,Orange & Bergamot - Focus on the WOW,
177,Orange & Bergamot - Eliminating the Ouches,
178,Orange & Bergamot - Last Impressions,
179,Orange & Bergamot - First Impressions,
180,Lily & Magnolia Blossom - Focus on the WOW,
181,Lily & Magnolia Blossom - Last Impressions,
182,Lily & Magnolia Blossom - First Impressions,
183,Hand Sanitisers - Focus on the WOW!,
184,Hand Sanitisers - Eliminating the Ouches,
185,Hand Sanitisers - First Impressions,
186,Hand Sanitisers - Last Impressions,
187,ESG House,
188,Introducing Sustainability,
189,Product,
190,People,
191,Places,
192,ESG,
196,ESG Trailer,
197,Invent Luxury Refill Solutions,
198,Gift Boxes,
199,Me Time - Self Indulgent Hand & Arm Massage,
200,Hand Refill - Focus on the WOW!,
201,Hand Refill - Last Impressions,
202,Hand Refill - Last Impressions,
203,Hand Refill - Eliminating the Ouches,
204,Hand Refill - First Impressions,
205,Seabourn - Focus on the WOW,
206,Seabourn - Eliminating the Ouches,
207,Seabourn - Last Impressions,
208,Seabourn - First Impressions,
209,FLOW AOP ELIMIN - Testing Products,
210,FLOW AOP ELIMIN - Universal Questions,
211,FLOW AOP ELIMIN - Body Language,
212,FLOW AOP WOW -Donations,
213,FLOW AOP WOW - Intro Collections,
214,FLOW AOP WOW - Fragrance Finder,
215,FLOW AOP WOW - Curated Experience,
216,FLOW AOP FIRST - Customer Behaviours,
217,FLOW AOP FIRST - The Consultant,
218,FLOW AOP FIRST - The Host,
219,FLOW AOP FIRST - Conversation Starters,
220,FLOW AOP FIRST - Creating a great impression,
221,FLOW - AOP - Last Impression,
222,Data Capture - Last Impressions,
223,Data Capture - What Have You Learnt?,
224,Data Capture - Eliminating The Ouches,
225,Data Capture - Focus On The WOW!,
226,Data Capture - First Impressions,
227,Data Capture - Target,
228,Flora Luminare - Focus on the WOW,
229,Flora Luminare - Eliminating the Ouches,
230,Flora Luminare - Last Impressions,
231,Flora Luminare - First Impressions,
232,Personas Video,
233,Empower Our People,
234,Net Carbon Neutral Manufacturing Facility,
235,Operate a Zero Landfill Waste Manufacturing Fac...,
236,Pioneer Packaging Reduction,
237,Committed to Cruelty Free Values,
238,Promote Sustainable Sourcing,
239,Champion Sustainable Natural Ingredients,
240,"Reduce, Reuse, Recycle",
241,Make Logistics Green,
242,Linear vs. Circular Economy,
243,Forge Great Partnerships,
244,Enrich our Manufacturing Facility Community,
