Prompt,Completion
Re-charge Black Pepper Collection,"Re-Charge Black Pepper:

Key Information - Our bestselling spicy blend will keep you refreshed and fragrant with notes of black pepper, coriander and vetiver. Re-charge Black Pepper is a true masculine icon. 

Launched in 2002 and the result of one of our early and most iconic partnerships with Master Perfumer, Jacques Chabert, our Re-charge Black Pepper Collection is Adventurous, Energising and Confident.

Grown in Madagascar, Black Peppercorns unveil powerful spicy and fruity flavours - it is a pepper that provides an outstanding finish, both sharp and refined.• The pepper plant is a vine with small green flowers grouped in long clusters, which give way to fleshy fruits of varying colours,

Re-charge Black Pepper has come  to achieve iconic status because of its distinctive clash between bright citrus and deep woody notes.

When Jacques revisited our original Re-charge Black Pepper collection in 2019, to begin the creation of our Eaux de Parfum, it was the characteristic spiciness of the Black Peppercorn that really drew him to an ingredient that would amplify and enhance this
bold warmth. 

The ingredient Jacques selected for the Eaux de Parfum was Myrtle Pepper. Myrtle Pepper, otherwise know as Allspice or Pimento, comes from the unripened berries of the evergreen Pimenta tree. Robust and complex, with hints of cinnamon and nutmeg, it’s a spicy accent that adds a rich dimension to the overall fragrance. depending on maturity.

Black Pepper, as we recognise it, is the full, mature peppercorn, picked when tinged with red."
Heavenly Gingerlily Collection,"Blended with tamanu nut oil, warming ginger and white lily extract, Heavenly Gingerlily leaves a delicate, tropical scent. 

Give them the gift of the Tahitian shore breeze with our exquisite Eaux de Toilette or Eaux de parfum. 

Black sandy shorelines, luscious forests and a spicy perfumed breeze...The perfect setting for our beautifully white floral icon, Heavenly Gingerlily.

Heavenly Gingerlily is a warming, timeless fragrance which epitomises the exotic escapism of Polynesia. Blooming floral notes of Tuberose, Lily and Rose are accompanied by warming Ginger.

The Gingerlily flower, known as the ‘Tahitian flame’ inspired the collections colour.

Our Heavenly Gingerlily collection is the creation of Master Perfumer Jacques Chabert. A Master Perfumer in every sense, Jacques Chabert has an exhaustive and encyclopaedic knowledge of fragrance.

His approach is instinctive and wildly creative. Jacques is passionate about the reconstruction of natural ingredients. Using a combination
of Ginger, Lily and Musk, Jacques began crafting an elegant yet alluring fragrance which quickly became an icon.

18 years after its initial launch in • 2001, Heavenly Gingerlily was revisited by Jacques - and this time, this Master of Perfumery embarked on a new journey of discovery to find a unique signature note which would • enrich and magnify the floral heart
of our icon. 

Exotic, Alluring and Escapist. 

Hyacinth was the perfect addition to the Eaux de Parfum. Hyacinth is fresh and aquatic, yet opulent with its sweet floral notes and green undertones.

It wraps around the aquatic spicy character of the original scent to give it a more sensuous and distinct signature."
Fiery Pink Pepper Collection,"Sultry. Humid. Spicy. Wrap yourself in a seductively spiced scent with pink pepper, warm ginger and rich patchouli. Entice your senses with a fragrance, indulge in pampering with our shower gel, body lotion, exfoliating body scrub, and hand care collections. • Inspired by the ‘grains of paradise’ our Fiery Pink Pepper collection is a sultry, warming fragrance which embodies the very spirit of the flamboyant Pink Peppercorn.

Pink Peppercorn’s are also known as the ‘Pink Gold of Reunion’ and these tiny little seeds are prized for their similarity in taste to Black Pepper yet they have many floral attributes and aromas.

Their amazingly complex flavour is that of Pepper, Coriander, Ginger & Cardamom with a hint of citrus.

Our Fiery Pink Pepper collection • is the creation of Senior Perfumer Carla Chabert. The daughter of world-renowned Master Perfumer Jacques Chabert, Carla has experimented with notes and accords since a young age. 

Using Pink Peppercorns, Carla began crafting a spicy, rich fragrance which would soon become the perfect companion to our Re-charge Black Pepper collection.

9 years on from the launch of our Fiery Pink Pepper collection in 2010, we once again requested the expertise of Carla, as we began the journey to creating our very first Fiery Pink Pepper Eaux de Parfum. Through experimentation and vibrant pink inspiration, Carla sort an ingredient that was as bold and striking in its natural form as Pink Peppercorns. Osmanthus was the perfect addition. Bright, dramatic and eccentric 

Osmanthus shares a rich, natural synergy and gives an apricot sweetness to Pink Pepper.

Carla shares her thoughts on how Osmanthus and Pink Pepper interact as she says “Osmanthus is a sweet floral with a leathery kick that echoes that piquancy of the Pink Pepper”. Smouldering, Sultry and Stirring."
Delicious Rhubard & Rose Collection,"A temptingly sweet recipe of rose, rhubarb and yuzu fruit to tantalise the senses. From scented candles and aroma reed diffusers to body lotions and hand creams, delight in the delicate harmony of vivacious fruity aromas, softened with gentle pink rose that our Delicious Rhubarb & Rose collection offers.

Inspired by the sweetness of a • Our Delicious Rhubarb & Rose • crisp summer tart our Delicious collection is the creation of Senior Rhubarb & Rose collection is a Perfumer Vanessa Prudent. Born in fizzy, tempting fragrance which Normandy, Vanessa discovered an symbolises the very essence of early passion for fragrance through sharp Yorkshire Rhubarb. nature.

Rhubarb is so beloved of northern • Vanessa has had the pleasure of • gardeners because the cool, damp travelling across the world, and this conditions produce the sweetest, is where she has found her biggest most succulent stalks. Whether inspiration. Discovering new places baked into a mouth watering evokes a curiosity and emotion she dessert or simply dipped in sugar, uses in her perfumery.

Rhubarb has a distinctively cheerful appearance and taste.

Using Rhubarb sourced from the luscious gardens of the Yorkshire Triangle, Vanessa began crafting an irresistible, gourmand fragrance which would soon become a favourite of all who experience it. An intriguing combination of natural and synthetic ingredients, our Delicious Rhubarb & Rose Collection is a true floral, fruity gourmand collection. Rhubarb spikes a bitter top note as zesty fruits fizz with a citrus twist.

The Eaux de Parfum opens with freshly-picked Lychee and delicate Peony, sprinkled with a spicy kick of Pink Pepper.

A signature note of Raspberry brings out its juicy and joyful style. Perfect for those who love the sweet things in life – indulge in a beautiful spring afternoon all year round. Vivacious, Fizzy and Tempting."
Coastal Cypress & Sea Fennel Key Information,"Drench your senses in a collision of Australian sea fennel, cypress and earthy cedarwood with our Coastal Cypress & Sea Fennel collection. From our award-winning Bath & Shower Gel and Fine Liquid Hand Wash to refreshing Deodorant and Bath Salts, lose yourself in this invigorating fragrance. • A rich interpretation of Azure Blue, our Coastal Cypress & Sea Fennel collection is a bracing, marine inspired fragrance which expresses the very essence of the rugged, ever-changing coastline.

Marine notes are accompanied by striking, naturally blue Cypress Oil. Blue Cypress Oil, sometimes referred to as Blue Gold, is similar to Sandalwood oil and Vetiver oil, with long-lasting, warm, woody base notes and earthy tones.

Our Coastal Cypress & Sea Fennel • collection is the creation of Senior Perfumer Carla Chabert. The daughter of world-renowned Master Perfumer Jacques Chabert. 

Her personal love affair with fragrance kicked off after she • attended a client’s house with her mother. This hugely resonated with her; remembering the scents, textures and perfume bottles of that particular meeting with deep affection.
Using a combination of Blue • Cypress Oil, Marine Notes and Cardamom to name but a few,

Carla began crafting an uplifting, compelling fragrance which would • soon gain iconic status.

Just 2 years on from the launch of our Coastal Cypress & Sea Fennel collection, we once again requested Carla’s expert nose, as we began the • journey to creating our very first

Coastal Cypress & Sea Fennel Eaux de Parfum. Coastal, Venturesome and Unchartered

For Carla, the ingredient that was going to truly elevate our Coastal Cypress & Sea Fennel Eaux de Parfum was the noble Cardamom. Whilst Cardamom is not a new addition to this collection, a heavy overdose enhances the depth of the fragrance, highlighting the freshness on top to add strength and vibrancy. For Carla this overdose of Cardamom was an instinctive choice and one which truly elevates our Eaux de Parfum to a salt-sprayed collision of ingredients."
Orange & Bergamot Key Information,"Formally known as Orange Grove, Orange & Bergamot has been with us since our early days. Bask your senses in a warm Andalusian courtyard with our radiant citrus scent, filled with uplifting bergamot, blossoming neroli and warm musk. • Inspired by the spirit of Seville, this radiant fragrance uses every element of the city’s famous orange tree. From the bright citrus fruit, to the delicate Neroli flowers, and even the woody Petitgrain.

More than 14,000 bitter orange trees decorate the spanish streets and infuse Seville with the scent of their blossoms every spring.

These ornamental, bitter orange trees outnumber every other species of tree in the city.

Originally known as Orange • Grove, this collection has been at the heart of our portfolio since it was created by Michael Pickthall in 1984.

Originally launched as one of the • first luxury hand washes, Orange Grove saw instant success in hotels across the world.

The launch of our unforgettable • citrus fragrance was the true beginning of our hotel partnerships which, until this day, sees our products in 5* hotels across the globe.

In 2018 we partnered with Master Perfumer Beverley Bayne, a close friend of Michael Pickthall, to reinvent our Orange & Bergamot collection.

Our aim was to modernise this fragrance with contemporary ingredients, whilst remaining true to Michael’s original vision.

In 2019 we once again sort Beverley’s creative expertise as we launched our very first collection of Eaux de Parfum.

A courtyard of orange trees in dappled shade. Lively citrus airs dancing the flamenco at dawn. Azure blue skies above awaken your spirits with our modern classic, plucked from the naranja grove. Signature, Radiant and Unmistakable."
Signature Candle Category Sheet,"Our Scented Candles are made with high fragrance concentrations for an exceptional scent experience. Set the scene for an elegant ambience with out Signature Scented Candles.

Our Signature Candles weigh 190g with a burn time of 30-40 hours.

They contain 10% fragrance oil which is blended within the wax when it is molten.

This ensures a steady aroma and a strong throw is released.

Our Candles are made from a mineral wax called Paraffi n.

This wax is used as it holds colour and scent exceptionally well and ensures we are able to off er our candles as 100% Vegetarian.

Our glass vessels take inspiration from our original glass amber bottles used in the Molton Brown Salon in 1971. The new vessel design in Mayfair Ebony, with a band of distinguishing colour, is timelessly chic.

Our Siganture Candles are available in some of our most iconic collections: Orange & Bergamot, Delicious Rhubarb & Rose, Re-charge Black Pepper, Mesmerising Oudh Accord & Gold, Coastal Cypress & Sea Fennel, Intoxicating Davana Blossom and Lemon & Mandarin. "
Luxury Candle Category Sheet,"Our Scented Candles are made with high fragrance concentrations for an exceptional scent experience. Set the scene for an elegant ambience with out Luxury Scented Candles.

Our Luxury Candles weigh 600g with a burn time of 60-70 hours.

They contain 10% fragrance oil which is blended throughout the wax rather than dipped. This ensures the fragrance is released throughout the entire burn time.

Both our Signature and Luxury Candles can be accompanied by a candle lid and wick trimmer to preserve the candle and ensure a clean, dust-free burn every time

Our Ebony Mayfair Glass Vessels are timelessly chic and compliment any home décor.

Designed to be reused and recylced, our Candles are a forever keepsake.

Our Luxury Candles are available in some of our most iconic collections: Orange & Bergamot, Recharge Black Pepper and Mesmerising Oudh Accord & Gold."
Hand Sanitiser Category Sheet,"Keep hands reassuringly cleansed on-the-go with luxury Hand Sanitiser Gels. Our non-drying gel formula kills 99.9% 
of bacteria and enveloped viruses. Made with 64.7% alcohol, they leave hands elegantly scented in our iconic fragrances.

Simply apply 3ml (size of a pea) to hands and massage in for 60 seconds for perfectly clean and sanitised hands.

Our quick drying formular leaves hands feeling clean and refreshed with a delicately scented aroma from 3 of our iconic collections.

Suitable for all skin types and available in a handy 100ml on the go size or choose a 300ml for your bathroom or kitchen.

The perfect complementary on the go sanitiser to match our other hand care products. Available in Orange & Bergamot, Delicious 
Rhubarb & Rose and Coastal Cypress & Sea Fennel."
Hand Lotion Category Sheet,"Cleanse your hands with our decadent collection of hand washes before proceeding to nourish your skin with our revered hand lotion, 
packed with enriching ingredients to hydrate, soothe and protect.

First harnessed in Ancient Egypt, Shea Butter is enriching yet light and is a key ingredient in all our Hand Lotions

Moisturise, soothe and nourish, with the decadent collection of delicately scented Hand Lotions.

Apply generously and experience the lotion melting into your hands for a silky soft feel.
"
